"HIOKI E.E. CORPORATION,""IM3570"",""Ver. 3.11""";;
;;
"DATE,""17-12-15""";;
"TIME,""01:17:25""";;
;;
"SOURCE,""FREQ""";;
"TRIG,""REPEAT""";;
"DRAW,""REAL""";;
"TRIG DELAY,""0.0000"",""s""";;
"DCBIAS,""OFF""";;
;;
"V,""0.100"",""V""";;
"RANGE,""AUTO""";;
"SPEED,""SLOW""";;
"AVG,""OFF""";;
"POINT DELAY,""0.0000"",""s""";;
"No.,""FREQUENCY(Hz)"",""Z[]"",""OFF""";;
295;105.73E+03;449.4734E+03
296;105.81E+03;448.9173E+03
297;105.90E+03;468.6282E+03
298;105.99E+03;468.4288E+03
299;106.08E+03;476.1644E+03
300;106.16E+03;474.6373E+03
301;106.25E+03;483.9193E+03
302;106.34E+03;486.4938E+03
303;106.43E+03;496.5244E+03
304;106.51E+03;501.4165E+03
305;106.60E+03;503.2595E+03
306;106.69E+03;512.2115E+03
307;106.78E+03;521.1372E+03
308;106.86E+03;524.0356E+03
309;106.95E+03;536.6522E+03
310;107.04E+03;539.0077E+03
311;107.13E+03;555.9165E+03
312;107.21E+03;561.1367E+03
313;107.30E+03;561.4350E+03
314;107.39E+03;572.3028E+03
315;107.48E+03;576.6768E+03
316;107.56E+03;586.4217E+03
317;107.65E+03;603.0635E+03
318;107.74E+03;604.6277E+03
319;107.83E+03;618.9908E+03
320;107.91E+03;609.8390E+03
321;108.00E+03;622.8669E+03
322;108.09E+03;627.9808E+03
323;108.18E+03;622.8475E+03
324;108.26E+03;649.9394E+03
325;108.35E+03;655.1803E+03
326;108.44E+03;657.3413E+03
327;108.53E+03;666.1968E+03
328;108.61E+03;660.9821E+03
329;108.70E+03;700.3462E+03
330;108.79E+03;691.9869E+03
331;108.88E+03;707.2741E+03
332;108.96E+03;706.5357E+03
333;109.05E+03;742.5807E+03
334;109.14E+03;724.0784E+03
335;109.23E+03;739.6716E+03
336;109.31E+03;743.0416E+03
337;109.40E+03;756.4888E+03
338;109.49E+03;771.7300E+03
339;109.58E+03;775.3637E+03
340;109.66E+03;790.6999E+03
341;109.75E+03;792.1224E+03
342;109.84E+03;821.4689E+03
343;109.93E+03;816.4626E+03
344;110.01E+03;834.9364E+03
345;110.10E+03;850.1178E+03
346;110.19E+03;865.7634E+03
347;110.28E+03;885.0885E+03
348;110.36E+03;874.9581E+03
349;110.45E+03;906.2692E+03
350;110.54E+03;895.9978E+03
351;110.63E+03;919.9315E+03
352;110.71E+03;921.5801E+03
353;110.80E+03;950.4967E+03
354;110.89E+03;958.1673E+03
355;110.98E+03;975.5156E+03
356;111.06E+03;998.8454E+03
357;111.15E+03;1.013863E+06
358;111.24E+03;1.011185E+06
359;111.33E+03;1.042931E+06
360;111.41E+03;1.042707E+06
361;111.50E+03;1.046773E+06
362;111.59E+03;1.074639E+06
363;111.68E+03;1.084312E+06
364;111.76E+03;1.062189E+06
365;111.85E+03;1.096268E+06
366;111.94E+03;1.094406E+06
367;112.03E+03;1.129818E+06
368;112.11E+03;1.176867E+06
369;112.20E+03;1.194512E+06
370;112.29E+03;1.187154E+06
371;112.38E+03;1.242776E+06
372;112.46E+03;1.246972E+06
373;112.55E+03;1.235515E+06
374;112.64E+03;1.299663E+06
375;112.73E+03;1.288214E+06
376;112.81E+03;1.300928E+06
377;112.90E+03;1.316778E+06
378;112.99E+03;1.373113E+06
379;113.08E+03;1.354961E+06
380;113.16E+03;1.406497E+06
381;113.25E+03;1.446592E+06
382;113.34E+03;1.476865E+06
383;113.43E+03;1.515217E+06
384;113.51E+03;1.490728E+06
385;113.60E+03;1.511498E+06
386;113.69E+03;1.586523E+06
387;113.78E+03;1.634965E+06
388;113.86E+03;1.645902E+06
389;113.95E+03;1.663629E+06
390;114.04E+03;1.618866E+06
391;114.13E+03;1.701538E+06
392;114.21E+03;1.818395E+06
393;114.30E+03;1.799533E+06
394;114.39E+03;1.786287E+06
395;114.48E+03;1.790456E+06
396;114.56E+03;1.893405E+06
397;114.65E+03;1.937041E+06
398;114.74E+03;1.971575E+06
399;114.83E+03;2.008295E+06
400;114.91E+03;2.020399E+06
401;115.00E+03;2.095821E+06
402;115.09E+03;2.059111E+06
403;115.18E+03;2.210574E+06
404;115.26E+03;2.227666E+06
405;115.35E+03;2.268452E+06
406;115.44E+03;2.375695E+06
407;115.53E+03;2.423094E+06
408;115.61E+03;2.397725E+06
409;115.70E+03;2.553510E+06
410;115.79E+03;2.630409E+06
411;115.88E+03;2.570022E+06
412;115.96E+03;2.815002E+06
413;116.05E+03;2.682936E+06
414;116.14E+03;2.732608E+06
415;116.23E+03;2.963193E+06
416;116.31E+03;2.835967E+06
417;116.40E+03;3.185485E+06
418;116.49E+03;3.221928E+06
419;116.58E+03;3.359612E+06
420;116.66E+03;3.406755E+06
421;116.75E+03;3.676391E+06
422;116.84E+03;3.908869E+06
423;116.93E+03;3.691228E+06
424;117.01E+03;3.787635E+06
425;117.10E+03;3.784956E+06
426;117.19E+03;4.383123E+06
427;117.28E+03;4.068452E+06
428;117.36E+03;4.564369E+06
429;117.45E+03;4.553636E+06
430;117.54E+03;4.968153E+06
431;117.63E+03;5.037410E+06
432;117.71E+03;4.835554E+06
433;117.80E+03;5.616065E+06
434;117.89E+03;5.511225E+06
435;117.98E+03;6.119960E+06
436;118.06E+03;6.132181E+06
437;118.15E+03;6.558113E+06
438;118.24E+03;6.639505E+06
439;118.33E+03;8.110905E+06
440;118.41E+03;7.387388E+06
441;118.50E+03;7.552417E+06
442;118.59E+03;8.352941E+06
443;118.68E+03;8.978115E+06
444;118.76E+03;10.63849E+06
445;118.85E+03;11.00214E+06
446;118.94E+03;12.05156E+06
447;119.03E+03;12.53626E+06
448;119.11E+03;15.28743E+06
449;119.20E+03;14.81375E+06
450;119.29E+03;19.20826E+06
451;119.38E+03;19.66832E+06
452;119.46E+03;19.94940E+06
453;119.55E+03;24.37384E+06
454;119.64E+03;31.41360E+06
455;119.73E+03;49.18094E+06
456;119.81E+03;31.50443E+06
457;119.90E+03;33.43134E+06
458;119.99E+03;38.06396E+06
459;120.08E+03;34.43849E+06
460;120.16E+03;21.58430E+06
461;120.25E+03;23.65852E+06
462;120.34E+03;23.56142E+06
463;120.43E+03;25.26230E+06
464;120.51E+03;14.92455E+06
465;120.60E+03;13.04967E+06
466;120.69E+03;12.34404E+06
467;120.78E+03;13.80680E+06
468;120.86E+03;11.71447E+06
469;120.95E+03;11.90951E+06
470;121.04E+03;10.03179E+06
471;121.13E+03;9.029629E+06
472;121.21E+03;9.141543E+06
473;121.30E+03;8.133450E+06
474;121.39E+03;8.300974E+06
475;121.48E+03;7.491757E+06
476;121.56E+03;7.446979E+06
477;121.65E+03;7.696803E+06
478;121.74E+03;6.614434E+06
479;121.83E+03;6.767187E+06
480;121.91E+03;6.145588E+06
481;122.00E+03;5.652447E+06
482;122.09E+03;5.611886E+06
483;122.18E+03;5.484347E+06
484;122.26E+03;5.198403E+06
485;122.35E+03;5.269674E+06
486;122.44E+03;5.148374E+06
487;122.53E+03;4.703968E+06
488;122.61E+03;5.569446E+06
489;122.70E+03;4.752080E+06
490;122.79E+03;4.292087E+06
491;122.88E+03;4.366704E+06
492;122.96E+03;4.306192E+06
493;123.05E+03;4.070364E+06
494;123.14E+03;4.031757E+06
495;123.23E+03;3.770392E+06
496;123.31E+03;3.864536E+06
497;123.40E+03;3.660852E+06
498;123.49E+03;3.729415E+06
499;123.58E+03;3.517155E+06
500;123.66E+03;3.562152E+06
501;123.75E+03;3.398734E+06
502;123.84E+03;3.223774E+06
503;123.93E+03;3.273691E+06
504;124.01E+03;3.169321E+06
505;124.10E+03;3.140193E+06
506;124.19E+03;3.167126E+06
507;124.28E+03;3.055924E+06
508;124.36E+03;2.992854E+06
509;124.45E+03;2.952766E+06
510;124.54E+03;2.930969E+06
511;124.63E+03;2.794192E+06
512;124.71E+03;2.799222E+06
513;124.80E+03;2.754670E+06
514;124.89E+03;2.674088E+06
515;124.98E+03;2.686627E+06
516;125.06E+03;2.617157E+06
517;125.15E+03;2.605509E+06
518;125.24E+03;2.532051E+06
519;125.33E+03;2.516734E+06
520;125.41E+03;2.447035E+06
521;125.50E+03;2.416012E+06
522;125.59E+03;2.316369E+06
523;125.68E+03;2.321623E+06
524;125.76E+03;2.326171E+06
525;125.85E+03;2.285474E+06
526;125.94E+03;2.278429E+06
527;126.03E+03;2.277096E+06
528;126.11E+03;2.243601E+06
529;126.20E+03;2.162070E+06
530;126.29E+03;2.150374E+06
531;126.38E+03;2.145460E+06
532;126.46E+03;2.069041E+06
533;126.55E+03;2.059204E+06
534;126.64E+03;2.047819E+06
535;126.73E+03;2.008221E+06
536;126.81E+03;2.008554E+06
537;126.90E+03;1.954475E+06
538;126.99E+03;1.979726E+06
539;127.08E+03;1.930454E+06
540;127.16E+03;1.933903E+06
541;127.25E+03;1.864190E+06
542;127.34E+03;1.846644E+06
543;127.43E+03;1.859325E+06
544;127.51E+03;1.822697E+06
